adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/2o0PKGmnSgCGkzoSePNAqse8Ure.jpg,[35],18785,en,The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",99.839,/uluhlXubGu1VxU63X9VHCLWDAYP.jpg,2009-06-02,The Hangover,False,7.3,14938
False,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,"[18, 36, 10752]",424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,45.178,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993-12-15,Schindler's List,False,8.6,13446
False,/rAiYTfKGqDCRIIqo664sY9XZIvQ.jpg,"[12, 18, 878]",157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,203.13,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,Interstellar,False,8.4,29790
False,/dNFbrnF0mIBm0rClbfEFWTtsgMP.jpg,"[53, 80, 9648]",65754,en,The Girl with the Dragon Tattoo,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",34.938,/xjs4O65JihQ2hGpapgsVbTBvPf8.jpg,2011-12-14,The Girl with the Dragon Tattoo,False,7.4,6037
False,/gqnUw9efZqrIGzrj0vwKMnTwiSd.jpg,[35],307655,en,Home for Christmas,Beth Prince has always loved fairytales and now she feels like she's finally on the verge of her own happily ever after; a dream job in a charming independent cinema by the seaside and a gorgeous boyfriend. There's just one problem - no man has ever told her they love her. Desperate to hear their crucial three little words for the first time Beth takes matters into her own hands - and wishes she hasn't. Written by Jamie Patterson,2.096,/6Nui6XSspwmWumIkNTKS3w7wy0r.jpg,2014-12-05,Home for Christmas,False,4.3,6
False,/hND7xAaxxBgaIspp9iMsaEXOSTz.jpg,"[28, 18, 12]",98,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",54.789,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,2000-05-04,Gladiator,False,8.2,15751
False,/txDX7lBx8bBhF7dRCEfDYmAmdnk.jpg,"[35, 10749]",200727,en,"Love, Rosie","Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",44.446,/rpD0t7DhzJVadnzgxSYrqljQTL2.jpg,2014-10-16,"Love, Rosie",False,7.8,5618
False,/4G7216ezKodauyP7cvNswiEf33k.jpg,"[18, 28, 80]",866678,pl,Furioza,"A policewoman makes her ex-boyfriend an offer he can't refuse: Either he infiltrates and informs on a gang of hooligans, or his brother goes to jail.",12.274,/sSIo1vG0IILxzHkLKmtFEoTbVE9.jpg,2021-10-22,Furioza,False,6.4,110
False,/m4JzTSFDqWnvLkjTKIm4kyDXbTO.jpg,"[18, 12, 36]",253412,en,Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",35.465,/4xmndWnTYTE4bDdlWrkZyaGcZlo.jpg,2015-09-10,Everest,False,6.8,4304
False,,"[35, 18]",964708,en,Toy Boy,"A couple buys a blow up doll as a joke, but soon the doll begins to reveal that it has a consciousness to one of the boyfriends, the man begins to have full on conversations with said blow up doll, leading the other boyfriend to think he has gone insane.",1.491,/bLXavOWv2boCsvBbSSlqpYNYMt3.jpg,2004-07-20,Toy Boy,False,2.0,1
